commit	val_mse	status	description
train_trimnn-exp28	n/a	trimnn-model	TrimNN exp28: demo data mix (SIZE4_FRAC=0.3, label collision bug) — full benchmark: s3 VF2 Spear=0.7937(vs exp27=0.7960), s4 VF2 Spear=0.6626(vs exp27=0.6414!), s4 MCC=0.6235; size-4 improved despite label collision
train_trimnn-exp29	n/a	trimnn-model	TrimNN exp29 NEW BEST s3+MCC: demo label fix (offset+25, MAX_LABELS=40), SIZE4_FRAC=0.1, 5000-step cosine — s3 VF2 Spear=0.8006(NEW BEST, +75.5%>TrimNN 0.4561!), s4 VF2 Spear=0.6590(vs exp28=0.6626), s4 MCC=0.6474(NEW BEST, vs exp28=0.6235); calib RMSE=68.4 vs TrimNN 1591.7
train_trimnn-exp30	n/a	trimnn-model	TrimNN exp30: SIZE4_FRAC=0.2 + size_embed(nn.Embedding(2,H)) + cosine=3500 — s3 VF2 Spear=0.7944(vs exp29=0.8006), s4 VF2 Spear=0.6832(NEW BEST!+3.7pp>exp29=0.6590), s4 MCC=0.6594(ties exp27 best); multi-sample avg=0.7395; size_embed key driver for s4 gain
train_trimnn-exp30-multisample	n/a	trimnn-model	TrimNN exp30 multi-sample (10 tissues): avg=0.7395; B005_asc=0.7064, B005_sig=0.6995, B005_duo=0.7049, B005_ileum=0.7569, B006_sig=0.7551, B006_desc=0.7601, B008_asc=0.7180, B008_trans=0.7515, B010_asc=0.7683, B011_asc=0.7747
train_trimnn-exp31	n/a	trimnn-model	TrimNN exp31: SIZE4_FRAC=0.3 + size_embed, cosine=3500 — s3 VF2 Spear=0.7947(≈exp30=0.7944), s4 VF2 Spear=0.6861(NEW BEST!+0.29pp>exp30=0.6832), s4 MCC=0.6235(regression vs exp30=0.6594); multi-avg=0.7410; SIZE4_FRAC=0.2 better for MCC, 0.3 marginally better for s4 Spearman
train_trimnn-exp31-multisample	n/a	trimnn-model	TrimNN exp31 multi-sample (10 tissues): avg=0.7410; B005_asc=0.7047, B005_sig=0.6991, B005_duo=0.7069, B005_ileum=0.7602, B006_sig=0.7537, B006_desc=0.7623, B008_asc=0.7196, B008_trans=0.7516, B010_asc=0.7716, B011_asc=0.7800
train_trimnn-exp32	n/a	trimnn-model	TrimNN exp32: 4500s budget, SIZE4_FRAC=0.2, cosine=5000, 9972 steps — s3 VF2 Spear=0.7973, s4 VF2 Spear=0.6899(NEW BEST!+0.38pp>exp31=0.6861), s4 MCC=0.6235, multi-avg=0.7439(NEW BEST!); val_bin_mse=0.008272(lowest ever); longer training helps s4 Spearman
train_trimnn-exp32-multisample	n/a	trimnn-model	TrimNN exp32 multi-sample (10 tissues): avg=0.7439(NEW BEST); B005_asc=0.7139, B005_sig=0.7050, B005_duo=0.7079, B005_ileum=0.7584, B006_sig=0.7582, B006_desc=0.7635, B008_asc=0.7271, B008_trans=0.7579, B010_asc=0.7716, B011_asc=0.7752
train_trimnn-exp33	n/a	trimnn-model	TrimNN exp33: H=192(676K params vs 128's 303K), 4500s, cosine=5000(suboptimal-sed bug), 7108 steps — quick s3=0.6774(vs exp32=0.6781); val_bin_mse=0.009508(worse than exp32=0.008272); H=192 slower per step→fewer steps→no gain over H=128
train_trimnn-exp33	n/a	trimnn-model	TrimNN exp33 FULL: H=192(676K params), 4500s, 7108 steps — s3 VF2 Spear=0.7960(vs exp32=0.7973), s4 VF2 Spear=0.6847(vs exp32=0.6899), s4 MCC=0.6474(ties exp29 best!), multi-avg=0.7431; H=192 loses on Spearman vs H=128(fewer steps), wins on MCC
train_trimnn-exp33-multisample	n/a	trimnn-model	TrimNN exp33 multi-sample (10 tissues): avg=0.7431; B005_asc=0.7116, B005_sig=0.7047, B005_duo=0.7033, B005_ileum=0.7586, B006_sig=0.7610, B006_desc=0.7641, B008_asc=0.7258, B008_trans=0.7566, B010_asc=0.7711, B011_asc=0.7744
train_trimnn-exp34	n/a	trimnn-model	TrimNN exp34: H=128 L=4(336K params), 4500s, 8244 steps — quick s3=0.6818, val_bin_mse=0.007568(NEW LOWEST!), val_bce=0.026347(NEW LOWEST!); L=4 better demo fitting vs L=3 despite fewer steps; full benchmark running→/tmp/benchmark_exp34.log
train_trimnn-exp34	n/a	trimnn-model	TrimNN exp34 FULL: H=128 L=4(336K), 4500s, 8244 steps — s3 VF2 Spear=0.7989(+0.16pp>exp32=0.7973), s4 VF2 Spear=0.6794(vs exp32=0.6899 -1.05pp), MCC=0.6235, multi-avg=0.7431; L=4 tradeoff: helps s3 triangles, hurts s4 kites
train_trimnn-exp34-multisample	n/a	trimnn-model	TrimNN exp34 multi-sample (10 tissues): avg=0.7431; B005_asc=0.7098, B005_sig=0.7064, B005_duo=0.7020, B005_ileum=0.7567, B006_sig=0.7588, B006_desc=0.7658, B008_asc=0.7293, B008_trans=0.7560, B010_asc=0.7726, B011_asc=0.7740
train_trimnn-exp35	n/a	trimnn-model	TrimNN exp35: L=3, SIZE4_FRAC=0.1, 4500s, 9725 steps — quick s3=0.6772(vs exp29=0.6861 no-size_embed); val_bin_mse=0.008021; predicted full s3≈0.796 (ratio 1.175× quick); size_embed seems to slightly hurt s3 vs exp29; full benchmark running→/tmp/benchmark_exp35.log
train_trimnn-exp35	n/a	trimnn-model	TrimNN exp35 FULL: L=3, SIZE4_FRAC=0.1, 4500s, size_embed — s3=0.7940(WORSE than exp29=0.8006!), s4=0.6796, MCC=0.6235, multi-avg=0.7437; CONFIRMED: size_embed costs ~0.006pp s3 Spearman; exp37(no-embed) expected to beat exp29
train_trimnn-exp35-multisample	n/a	trimnn-model	TrimNN exp35 multi-sample: avg=0.7437; B005_asc=0.7128, B005_sig=0.7023, B005_duo=0.7062, B005_ileum=0.7598, B006_sig=0.7601, B006_desc=0.7695, B008_asc=0.7289, B008_trans=0.7548, B010_asc=0.7720, B011_asc=0.7707
train_trimnn-exp36	n/a	trimnn-model	TrimNN exp36: H=128 L=4 size_embed, SIZE4_FRAC=0.1, 4500s, 9194 steps — s3=0.7964, s4=0.6686, s4_MCC=0.6355, s3_MCC=0.2279(COLLAPSED!), calib_RMSE=68.5; KEY FINDING: L=4+S4F=0.1 collapses s3 binary MCC (but not s4); S4F=0.2 needed for L=4 binary health
train_trimnn-exp36-multisample	n/a	trimnn-model	TrimNN exp36 multi-sample (10 tissues): avg=0.7442(NEW BEST by 0.0003pp); B005_asc=0.7054, B005_sig=0.7051, B005_duo=0.7092, B005_ileum=0.7572, B006_sig=0.7602, B006_desc=0.7677, B008_asc=0.7328, B008_trans=0.7568, B010_asc=0.7716, B011_asc=0.7756
train_trimnn-exp37	n/a	trimnn-model	TrimNN exp37: no-size_embed, L=3, SIZE4_FRAC=0.1, 4500s, 9583 steps — quick_s3=0.6766(pred_full=0.795), val_bin_mse=0.006936(LOWEST EVER); WORSE than exp29(0.8006)! ROOT CAUSE: cosine ends at step 4950 but ran 9583 steps → 4600 steps at near-zero LR; exp29 stopped at step 2727 (LR still at 44% max) — LR schedule mismatch is the key bug
train_trimnn-exp37-full	n/a	trimnn-model	TrimNN exp37 FULL BENCHMARK: no-size_embed, L=3, SIZE4_FRAC=0.1, 4500s, 9583 steps — s3=0.7956(WORSE than exp29=0.8006), s4=0.6542, s4_MCC=0.6235, s3_MCC=0.2279(COLLAPSED T≈56.4), calib_RMSE=67.6; cosine mismatch: LR near-zero for 4600/9583 steps; exp39(cosine=9550) expected to recover s3≥0.8006
train_trimnn-exp37-multisample	n/a	trimnn-model	TrimNN exp37 multi-sample (10 tissues): avg=0.7443(matches exp36 best); B005_asc=0.7126, B005_sig=0.7047, B005_duo=0.7105, B005_ileum=0.7600, B006_sig=0.7656, B006_desc=0.7659, B008_asc=0.7296, B008_trans=0.7543, B010_asc=0.7681, B011_asc=0.7716; s3 MCC=0.2279 COLLAPSED despite good multi-sample
train_trimnn-exp38	n/a	trimnn-model	TrimNN exp38: no-size_embed, L=4, SIZE4_FRAC=0.1, 4500s, 9127 steps — quick_s3=0.6806(pred_full=0.7990, BELOW exp29=0.8006), val_bin_mse=0.006418; L=4 vs exp37(L=3 quick=0.6766): +0.4pp quick; cosine still broken (ends step 5000, ran 9127); exp39(cosine=9550 FIXED) is now running
train_trimnn-exp38-full	n/a	trimnn-model	TrimNN exp38 FULL BENCHMARK: no-size_embed, L=4, SIZE4_FRAC=0.1, 4500s, 9127 steps — s3=0.7954(pred=0.7990, BELOW exp29=0.8006), s4=0.6576, s4_MCC=0.6474, s3_MCC=0.2228(COLLAPSED again), calib_RMSE=69.3; L=4+no-embed+cosine-broken: same MCC collapse as exp37; cosine fix in exp39 should restore MCC+s3
train_trimnn-exp38-multisample	n/a	trimnn-model	TrimNN exp38 multi-sample (10 tissues): avg=0.7436(below exp36/37=0.7442-0.7443); B005_asc=0.7036, B005_sig=0.7061, B005_duo=0.7089, B005_ileum=0.7587, B006_sig=0.7577, B006_desc=0.7668, B008_asc=0.7357, B008_trans=0.7580, B010_asc=0.7713, B011_asc=0.7693; L=4+no-embed no better than L=3+no-embed on multi-sample
train_trimnn-exp39	n/a	trimnn-model	TrimNN exp39: no-size_embed, L=3, SIZE4_FRAC=0.1, 4500s, 9981 steps, cosine=9550 FIXED — quick_s3=0.6872(ABOVE exp29=0.6861!), pred_full=0.8068(NEW BEST predicted!), val_bin_mse=0.005546(NEW LOWEST EVER); COSINE FIX CONFIRMED: 9981 steps at proper LR vs exp37's 4583 idle steps; benchmark+multisample running
train_trimnn-exp39-full	n/a	trimnn-model	TrimNN exp39 FULL BENCHMARK: no-size_embed, L=3, cosine=9550 FIXED, SIZE4_FRAC=0.1, 4500s, 9981 steps — s3=0.8052(NEW BEST! beats exp29=0.8006 by +0.46pp!), s4=0.6637(best no-embed), s4_MCC=0.6474, s3_MCC=0.2279(collapsed), calib_RMSE=67.8; COSINE FIX CONFIRMED: fixed cosine=9550 recovered and exceeded exp29
train_trimnn-exp39-multisample	n/a	trimnn-model	TrimNN exp39 multi-sample (10 tissues): avg=0.7467(NEW BEST! +0.25pp over exp36=0.7442); B005_asc=0.7146, B005_sig=0.6984, B005_duo=0.7098, B005_ileum=0.7591, B006_sig=0.7711, B006_desc=0.7719, B008_asc=0.7374, B008_trans=0.7562, B010_asc=0.7750, B011_asc=0.7739
train_trimnn-exp40	n/a	trimnn-model	TrimNN exp40: no-size_embed, L=4, cosine=8200 FIXED, SIZE4_FRAC=0.1, 4500s, 9266 steps — quick_s3=0.6829(pred_full=0.8017; BELOW exp39=0.8052!), val_bin_mse=0.004834(NEW LOWEST EVER); L=4 WORSE than L=3 with fixed cosine: exp40<exp39 confirms L=3 optimal for 4500s; exp41=L=3+cosine=9550+S4F=0.2
train_trimnn-exp40-full	n/a	trimnn-model	TrimNN exp40 FULL: no-size_embed, L=4, cosine=8200 FIXED, S4F=0.1, 4500s, 9266 steps — s3=0.7972(BELOW exp39=0.8052; L=4+fixed-cosine worse than L=3+fixed-cosine), s4=0.6636, s4_MCC=0.6355, s3_MCC=0.2383(collapsed), calib_RMSE=69.1; VERDICT: L=3 definitively better than L=4 for 4500s budget
train_trimnn-exp40-multisample	n/a	trimnn-model	TrimNN exp40 multi-sample: avg=0.7453(below exp39=0.7467); B005_asc=0.7077, B005_sig=0.7039, B005_duo=0.7118, B005_ileum=0.7599, B006_sig=0.7586, B006_desc=0.7681, B008_asc=0.7415, B008_trans=0.7573, B010_asc=0.7734, B011_asc=0.7709
train_trimnn-exp41	n/a	trimnn-model	TrimNN exp41: no-size_embed, L=3, cosine=9550 FIXED, SIZE4_FRAC=0.2, 4500s, 10153 steps — quick_s3=0.6842(pred_full=0.8033; cost -0.003pp vs exp39=0.8052 for S4F 0.1→0.2), val_bin_mse=0.005523; benchmark running — key question: does S4F=0.2 fix MCC collapse?
train_trimnn-exp41-full	n/a	trimnn-model	TrimNN exp41 FULL: no-size_embed, L=3, cosine=9550 FIXED, S4F=0.2, 4500s, 10153 steps — s3=0.8062(NEW BEST! +0.0010pp vs exp39=0.8052!), s4=0.6730(+0.93pp vs exp39=0.6637), s4_MCC=0.6474, s3_MCC=0.2434(still collapsed, slightly better), calib_RMSE=67.0(new best); S4F=0.2 HELPS s3 AND s4 — unexpected positive result
train_trimnn-exp41-multisample	n/a	trimnn-model	TrimNN exp41 multi-sample: avg=0.7460(below exp39=0.7467 by 0.0007); B005_asc=0.7210, B005_sig=0.7069, B005_duo=0.7078, B005_ileum=0.7589, B006_sig=0.7685, B006_desc=0.7692, B008_asc=0.7248, B008_trans=0.7557, B010_asc=0.7725, B011_asc=0.7752
